Algorithm,Input_Size,Time_ms,Memory_KB
Quick Sort,10000,163.2103,80.1922
Heap Sort,10000,143.9055,78.6836
Count Sort,10000,289.7539,3981.3922
Radix Sort,10000,267.6737,156.8555
Bucket Sort,10000,75.0868,902.6086
Quick Sort,50000,990.9709,393.0344
Heap Sort,50000,933.3328,391.3086
Count Sort,50000,599.2858,4672.7188
Radix Sort,50000,1256.8536,781.8555
Bucket Sort,50000,347.0656,4550.6633
Quick Sort,100000,2088.5199,783.8500
Heap Sort,100000,2233.1399,781.9961
Count Sort,100000,1045.2473,5460.4688
Radix Sort,100000,3266.6195,1563.1055
Bucket Sort,100000,720.7644,9009.0977
Quick Sort,200000,4449.4590,1565.2625
Heap Sort,200000,4623.0210,1563.3086
Count Sort,200000,1751.6874,7027.9453
Radix Sort,200000,6073.5842,3125.6055
Bucket Sort,200000,1438.7065,18061.0352
Quick Sort,500000,12604.2891,3909.4625
Heap Sort,500000,13177.5419,3907.1211
Count Sort,500000,3966.6814,11717.5078
Radix Sort,500000,15681.7080,7813.1055
Bucket Sort,500000,3765.3159,45258.2852
